,coef,std err,t,P>|t|,[0.025,0.975]
const,   36.4595,    5.103,    7.144, 0.000,   26.432,   46.487
x1,   -0.1080,    0.033,   -3.287, 0.001,   -0.173,   -0.043
x2,    0.0464,    0.014,    3.382, 0.001,    0.019,    0.073
x3,    0.0206,    0.061,    0.334, 0.738,   -0.100,    0.141
x4,    2.6867,    0.862,    3.118, 0.002,    0.994,    4.380
x5,  -17.7666,    3.820,   -4.651, 0.000,  -25.272,  -10.262
x6,    3.8099,    0.418,    9.116, 0.000,    2.989,    4.631
x7,    0.0007,    0.013,    0.052, 0.958,   -0.025,    0.027
x8,   -1.4756,    0.199,   -7.398, 0.000,   -1.867,   -1.084
x9,    0.3060,    0.066,    4.613, 0.000,    0.176,    0.436
x10,   -0.0123,    0.004,   -3.280, 0.001,   -0.020,   -0.005
x11,   -0.9527,    0.131,   -7.283, 0.000,   -1.210,   -0.696
x12,    0.0093,    0.003,    3.467, 0.001,    0.004,    0.015
x13,   -0.5248,    0.051,  -10.347, 0.000,   -0.624,   -0.425
